
  0%|                                                    | 0/18 [00:00<?, ?it/s]
tensor(2.3350, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3284, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3431, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3239, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3448, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3391, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3421, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3477, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3346, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3351, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3358, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3332, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3391, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3313, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3295, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3277, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3368, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3396, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3428, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3388, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3374, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3417, device='mps:0', grad_fn=<NllLossBackward0>)
